"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure","Quote","Price Limit","Price Control","Line number"
"01_062_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Weekday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","628.8","Y",60
"01_063_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Saturday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","754.8","Y",61
"01_064_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Sunday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","908.8","Y",62
"01_065_0115_1_1","Short Term Accommodation And Assistance - Ratio 1:3 - Public Holiday","Integrated support for self-care, accommodation, food & activities in a centre or group residence for short periods. Includes all expenses in 24 hour period with no additional loading. May be used for up to 14 consecutive days, then weekly rates apply.","Assistance with daily life (includes Supported Independent Living)","D","N","1062.8","Y",63
"04_128_0136_6_1","Group Based Activities In The Community - Ratio 1:2 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","58.28","Y",145
"04_129_0136_6_1","Group Based Activities In The Community - Ratio 1:3 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","43.02","Y",146
"04_130_0104_6_1","Group Based Activities In The Community - Ratio 1:2 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","64.32","Y",147
"04_131_0104_6_1","Group Based Activities In The Community - Ratio 1:3 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","47.48","Y",148
"04_136_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","16.36","Y",149
"04_137_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","17.95","Y",150
"04_138_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","22.7","Y",151
"04_139_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","29.05","Y",152
"04_140_0136_6_1","Group Based Activities In The Community - Ratio 1:4 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","35.38","Y",153
"04_141_0136_6_1","Group Based Activities In The Community - Ratio 1:5 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","14.25","Y",154
"04_142_0136_6_1","Group Based Activities In The Community - Ratio 1:5 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","15.62","Y",155
"04_143_0136_6_1","Group Based Activities In The Community - Ratio 1:5 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","19.76","Y",156
"04_144_0136_6_1","Group Based Activities In The Community - Ratio 1:5 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","25.29","Y",157
"04_145_0136_6_1","Group Based Activities In The Community - Ratio 1:5 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities.","Assistance with social and community participation","H","N","30.8","Y",158
"04_146_0104_6_1","Group Based Activities In The Community - Ratio 1:4 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","18.06","Y",159
"04_147_0104_6_1","Group Based Activities In The Community - Ratio 1:4 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","19.81","Y",160
"04_148_0104_6_1","Group Based Activities In The Community - Ratio 1:4 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","25.05","Y",161
"04_149_0104_6_1","Group Based Activities In The Community - Ratio 1:4 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","32.06","Y",162
"04_150_0104_6_1","Group Based Activities In The Community - Ratio 1:4 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","39.05","Y",163
"04_151_0104_6_1","Group Based Activities In The Community - Ratio 1:5 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","15.72","Y",164
"04_152_0104_6_1","Group Based Activities In The Community - Ratio 1:5 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","17.24","Y",165
"04_153_0104_6_1","Group Based Activities In The Community - Ratio 1:5 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","21.81","Y",166
"04_154_0104_6_1","Group Based Activities In The Community - Ratio 1:5 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","27.91","Y",167
"04_155_0104_6_1","Group Based Activities In The Community - Ratio 1:5 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","34","Y",168
"04_160_0136_6_1","Group Based Activities In A Centre - Ratio 1:1 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","50.29","Y",169
"04_161_0136_6_1","Group Based Activities In A Centre - Ratio 1:1 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","54.94","Y",170
"04_162_0136_6_1","Group Based Activities In A Centre - Ratio 1:1 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","68.92","Y",171
"04_163_0136_6_1","Group Based Activities In A Centre - Ratio 1:1 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","87.6","Y",172
"04_164_0136_6_1","Group Based Activities In A Centre - Ratio 1:1 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","106.23","Y",173
"04_165_0136_6_1","Group Based Activities In A Centre - Ratio 1:2 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","29.11","Y",174
"04_166_0136_6_1","Group Based Activities In A Centre - Ratio 1:2 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","31.71","Y",175
"04_167_0136_6_1","Group Based Activities In A Centre - Ratio 1:2 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","39.54","Y",176
"04_168_0136_6_1","Group Based Activities In A Centre - Ratio 1:2 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","50","Y",177
"04_169_0136_6_1","Group Based Activities In A Centre - Ratio 1:2 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","60.43","Y",178
"04_170_0136_6_1","Group Based Activities In A Centre - Ratio 1:3 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","22.05","Y",179
"04_171_0136_6_1","Group Based Activities In A Centre - Ratio 1:3 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","23.97","Y",180
"04_172_0136_6_1","Group Based Activities In A Centre - Ratio 1:3 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","29.75","Y",181
"04_173_0136_6_1","Group Based Activities In A Centre - Ratio 1:3 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","37.47","Y",182
"04_174_0136_6_1","Group Based Activities In A Centre - Ratio 1:3 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","45.17","Y",183
"04_175_0136_6_1","Group Based Activities In A Centre - Ratio 1:4 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","18.52","Y",184
"04_176_0136_6_1","Group Based Activities In A Centre - Ratio 1:4 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","20.1","Y",185
"04_177_0136_6_1","Group Based Activities In A Centre - Ratio 1:4 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","24.85","Y",186
"04_178_0136_6_1","Group Based Activities In A Centre - Ratio 1:4 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","31.2","Y",187
"04_179_0136_6_1","Group Based Activities In A Centre - Ratio 1:4 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","37.54","Y",188
"04_180_0136_6_1","Group Based Activities In A Centre - Ratio 1:5 - Standard - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","16.4","Y",189
"04_181_0136_6_1","Group Based Activities In A Centre - Ratio 1:5 - Standard - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","17.78","Y",190
"04_182_0136_6_1","Group Based Activities In A Centre - Ratio 1:5 - Standard - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","21.91","Y",191
"04_183_0136_6_1","Group Based Activities In A Centre - Ratio 1:5 - Standard - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","27.44","Y",192
"04_184_0136_6_1","Group Based Activities In A Centre - Ratio 1:5 - Standard - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre.","Assistance with social and community participation","H","N","32.96","Y",193
"04_185_0104_6_1","Group Based Activities In A Centre - Ratio 1:1 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","51.73","Y",194
"04_186_0104_6_1","Group Based Activities In A Centre - Ratio 1:1 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","56.52","Y",195
"04_187_0104_6_1","Group Based Activities In A Centre - Ratio 1:1 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","70.95","Y",196
"04_188_0104_6_1","Group Based Activities In A Centre - Ratio 1:1 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","90.19","Y",197
"04_189_0104_6_1","Group Based Activities In A Centre - Ratio 1:1 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","109.43","Y",198
"04_190_0104_6_1","Group Based Activities In A Centre - Ratio 1:2 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","31.85","Y",199
"04_191_0104_6_1","Group Based Activities In A Centre - Ratio 1:2 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","34.73","Y",200
"04_192_0104_6_1","Group Based Activities In A Centre - Ratio 1:2 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","43.37","Y",201
"04_193_0104_6_1","Group Based Activities In A Centre - Ratio 1:2 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","54.91","Y",202
"04_194_0104_6_1","Group Based Activities In A Centre - Ratio 1:2 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","66.43","Y",203
"04_195_0104_6_1","Group Based Activities In A Centre - Ratio 1:3 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","24.06","Y",204
"04_196_0104_6_1","Group Based Activities In A Centre - Ratio 1:3 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","26.18","Y",205
"04_197_0104_6_1","Group Based Activities In A Centre - Ratio 1:3 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","32.56","Y",206
"04_198_0104_6_1","Group Based Activities In A Centre - Ratio 1:3 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","41.08","Y",207
"04_199_0104_6_1","Group Based Activities In A Centre - Ratio 1:3 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","49.58","Y",208
"04_200_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","20.16","Y",209
"04_201_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","21.91","Y",210
"04_202_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","27.16","Y",211
"04_203_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","34.16","Y",212
"04_204_0104_6_1","Group Based Activities In A Centre - Ratio 1:4 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","41.15","Y",213
"04_205_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Weekday Daytime","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","17.83","Y",214
"04_206_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Weekday Evening","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","19.35","Y",215
"04_207_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Saturday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","23.91","Y",216
"04_208_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Sunday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","30.01","Y",217
"04_209_0104_6_1","Group Based Activities In A Centre - Ratio 1:5 - Complex - Public Holiday","Provision of support to enable a participant to engage in community, social and/or recreational activities in a centre, where a support worker with additional qualifications and experience relevant to the participant�s complex needs is required.","Assistance with social and community participation","H","N","36.1","Y",218
